state,abbr,gun_ownership_perc,gun_deaths
Alabama,AL,48.9,19.6
Alaska,AK,61.7,23.4
Arizona,AZ,32.3,13.8
Arkansas,AR,57.9,16.9
California,CA,20.1,7.7
Colorado,CO,34.3,12.6
Connecticut,CT,16.6,5.3
Delaware,DE,5.2,12.1
Florida,FL,32.5,12
Georgia,GA,31.6,14.1
Hawaii,HI,45.1,3.6
Idaho,ID,56.9,14.7
Illinois,IL,26.2,9.5
Indiana,IN,33.8,12.7
Iowa,IA,33.8,7.8
Kansas,KS,32.2,11.4
Kentucky,KY,42.4,15.2
Louisiana,LA,44.5,20.4
Maine,ME,22.6,9.8
Maryland,MD,20.7,11.9
Massachusetts,MA,22.6,3
Michigan,MI,28.8,11.7
Minnesota,MN,36.7,7.4
Mississippi,MS,42.8,19.6
Missouri,MO,27.1,18.1
Montana,MT,52.3,19.2
Nebraska,NE,19.8,8.9
Nevada,NV,37.5,14.9
New Hampshire,NH,14.4,8.9
New Jersey,NJ,11.3,5.4
New Mexico,NM,49.9,18.6
New York,NY,10.3,4.2
North Carolina,NC,28.7,12.5
North Dakota,ND,47.9,12.8
Ohio,OH,19.6,11.9
Oklahoma,OK,31.2,18
Oregon,OR,26.6,11.4
Pennsylvania,PA,27.1,11.4
Rhode Island,RI,5.8,4.7
South Carolina,SC,44.4,17.3
South Dakota,SD,35,11.1
Tennessee,TN,39.4,16
Texas,TX,35.7,11.7
Utah,UT,31.9,12.8
Vermont,VT,28.8,9.6
Virginia,VA,29.3,10.9
Washington,WA,27.7,9.8
West Virginia,WV,54.2,14
Wisconsin,WI,34.7,10.4
Wyoming,WY,53.8,19.6