state,weaponBan,value
Alabama,No ,36
Alaska,No ,0
Arizona,No ,113
Arkansas,No ,1
California,Yes,253
Colorado ,No ,1
Connecticut ,Yes,1
Delaware,No ,1
Florida ,No ,197
Georgia ,No ,57
Hawaii ,Yes,0
Idaho ,No ,0
Illinois,No ,120
Indiana ,No ,63
Iowa,No ,0
Kansas ,No ,1
Kentucky ,No ,10
Louisiana ,No ,114
Maine,No ,0
Maryland,Yes,130
Massachusetts,Yes,2
Michigan ,No ,123
Minnesota ,No ,0
Mississippi ,No ,0
Missouri ,No ,94
Montana ,No ,1
Nebraska ,No ,1
Nevada,No ,36
New Hampshire ,No ,0
New Jersey,Yes,41
New Mexico,No ,1
New York ,Yes,86
North Carolina,No ,3
North Dakota,No ,0
Ohio ,No ,69
Oklahoma ,No ,8
Oregon ,No ,0
Pennsylvania ,No ,142
Rhode Island,No ,0
South Carolina,No ,0
South Dakota,No ,0
Tennessee,No ,85
Texas,No ,268
Utah ,No ,0
Vermont,No ,0
Virginia ,No ,1
Washington ,No ,2
West Virginia ,No ,0
Wisconsin ,No ,30
Wyoming ,No ,0