state,abbr,gun_ownership_perc,gun_deaths,
Alabama,AL,48.9,17.6,
Alaska,AK,61.7,19.8,
Arizona,AZ,32.3,14.1,
Arkansas,AR,57.9,16.8,
California,CA,20.1,7.7,
Colorado,CO,34.3,11.5,
Connecticut,CT,16.6,4.4,
Delaware,DE,5.2,10.3,
Florida,FL,32.5,11.9,
Georgia,GA,31.6,12.6,
Hawaii,HI,45.1,2.6,
Idaho,ID,56.9,14.1,
Illinois,IL,26.2,8.6,
Indiana,IN,33.8,13,
Iowa,IA,33.8,8,
Kansas,KS,32.2,11.4,
Kentucky,KY,42.4,13.7,
Louisiana,LA,44.5,19.3,
Maine,ME,22.6,10.9,
Maryland,MD,20.7,9.7,
Massachusetts,MA,22.6,3.1,
Michigan,MI,28.8,12,
Minnesota,MN,36.7,7.6,
Mississippi,MS,42.8,17.8,
Missouri,MO,27.1,14.4,
Montana,MT,52.3,16.7,
Nebraska,NE,19.8,9,
Nevada,NV,37.5,13.8,
New Hampshire,NH,14.4,6.4,
New Jersey,NJ,11.3,5.7,
New Mexico,NM,49.9,15.5,
New York,NY,10.3,4.2,
North Carolina,NC,28.7,12.1,
North Dakota,ND,47.9,11.8,
Ohio,OH,19.6,11,
Oklahoma,OK,31.2,16.5,
Oregon,OR,26.6,11,
Pennsylvania,PA,27.1,11.2,
Rhode Island,RI,5.8,5.3,
South Carolina,SC,44.4,15.2,
South Dakota,SD,35,10,
Tennessee,TN,39.4,15.4,
Texas,TX,35.7,10.6,
Utah,UT,31.9,12.6,
Vermont,VT,28.8,9.2,
Virginia,VA,29.3,10.2,
Washington,WA,27.7,8.7,
West Virginia,WV,54.2,14.3,
Wisconsin,WI,34.7,9.7,
Wyoming,WY,53.8,16.7,